{'loss': 4.2593, 'grad_norm': 3.1843996047973633, 'learning_rate': 1e-05, 'epoch': 0.2}                        
{'eval_Hits@1': 0.02, 'eval_Hits@10': 0.076, 'eval_runtime': 10.6615, 'eval_samples_per_second': 46.898, 'eval_steps_per_second': 0.375, 'epoch': 10.04}                                                                      
{'loss': 0.7782, 'grad_norm': 2.9493329524993896, 'learning_rate': 8.944387229660145e-05, 'epoch': 10.24}      
{'loss': 0.7987, 'grad_norm': 2.8502795696258545, 'learning_rate': 8.918640576725025e-05, 'epoch': 10.44}      
{'loss': 0.8241, 'grad_norm': 2.8210489749908447, 'learning_rate': 8.892893923789908e-05, 'epoch': 10.64}      
{'loss': 0.8387, 'grad_norm': 3.0327649116516113, 'learning_rate': 8.86714727085479e-05, 'epoch': 10.84}       
{'loss': 0.8158, 'grad_norm': 2.8580620288848877, 'learning_rate': 8.84140061791967e-05, 'epoch': 11.04}       
{'loss': 0.6849, 'grad_norm': 2.570704460144043, 'learning_rate': 8.815653964984552e-05, 'epoch': 11.24}       
{'loss': 0.7122, 'grad_norm': 2.682560920715332, 'learning_rate': 8.789907312049434e-05, 'epoch': 11.45}       
{'loss': 0.727, 'grad_norm': 2.7561800479888916, 'learning_rate': 8.764160659114316e-05, 'epoch': 11.65}       
{'loss': 0.7461, 'grad_norm': 2.8969459533691406, 'learning_rate': 8.738414006179197e-05, 'epoch': 11.85}      
{'loss': 0.7077, 'grad_norm': 2.5411765575408936, 'learning_rate': 8.712667353244078e-05, 'epoch': 12.05}      
{'loss': 0.5831, 'grad_norm': 2.8460099697113037, 'learning_rate': 8.686920700308961e-05, 'epoch': 12.25}      
{'loss': 0.6098, 'grad_norm': 3.3934390544891357, 'learning_rate': 8.661174047373842e-05, 'epoch': 12.45}      
{'loss': 0.6274, 'grad_norm': 2.7112197875976562, 'learning_rate': 8.635427394438723e-05, 'epoch': 12.65}      
{'loss': 0.6501, 'grad_norm': 3.0449907779693604, 'learning_rate': 8.609680741503605e-05, 'epoch': 12.85}      
{'loss': 0.6155, 'grad_norm': 2.762247323989868, 'learning_rate': 8.583934088568486e-05, 'epoch': 13.05}       
{'loss': 0.4922, 'grad_norm': 2.7314107418060303, 'learning_rate': 8.558187435633368e-05, 'epoch': 13.25}      
{'loss': 0.5233, 'grad_norm': 3.382767677307129, 'learning_rate': 8.53244078269825e-05, 'epoch': 13.45}        
{'loss': 0.5482, 'grad_norm': 3.264723539352417, 'learning_rate': 8.506694129763131e-05, 'epoch': 13.65}       
{'loss': 0.5545, 'grad_norm': 2.818588972091675, 'learning_rate': 8.480947476828013e-05, 'epoch': 13.86}       
{'loss': 0.5254, 'grad_norm': 2.7012405395507812, 'learning_rate': 8.455200823892895e-05, 'epoch': 14.06}      
{'loss': 0.4121, 'grad_norm': 4.844398021697998, 'learning_rate': 8.429454170957775e-05, 'epoch': 14.26}       
{'loss': 0.4362, 'grad_norm': 3.1163458824157715, 'learning_rate': 8.403707518022658e-05, 'epoch': 14.46}      
{'loss': 0.4519, 'grad_norm': 2.8064868450164795, 'learning_rate': 8.377960865087539e-05, 'epoch': 14.66}      
{'loss': 0.4735, 'grad_norm': 3.3478503227233887, 'learning_rate': 8.35221421215242e-05, 'epoch': 14.86}       
{'loss': 0.4414, 'grad_norm': 2.4879088401794434, 'learning_rate': 8.326467559217302e-05, 'epoch': 15.06}      
{'loss': 0.3448, 'grad_norm': 2.9764416217803955, 'learning_rate': 8.300720906282184e-05, 'epoch': 15.26}      
{'loss': 0.3653, 'grad_norm': 2.84403395652771, 'learning_rate': 8.274974253347065e-05, 'epoch': 15.46}        
{'loss': 0.395, 'grad_norm': 2.9864306449890137, 'learning_rate': 8.249227600411947e-05, 'epoch': 15.66}       
{'loss': 0.4098, 'grad_norm': 3.019139289855957, 'learning_rate': 8.223480947476829e-05, 'epoch': 15.86}       
{'loss': 0.3692, 'grad_norm': 2.69357967376709, 'learning_rate': 8.19773429454171e-05, 'epoch': 16.06}         
{'loss': 0.2929, 'grad_norm': 2.7417120933532715, 'learning_rate': 8.171987641606591e-05, 'epoch': 16.27}      
{'loss': 0.3186, 'grad_norm': 2.9003489017486572, 'learning_rate': 8.146240988671473e-05, 'epoch': 16.47}      
{'loss': 0.3348, 'grad_norm': 2.797210693359375, 'learning_rate': 8.120494335736356e-05, 'epoch': 16.67}       
{'loss': 0.3524, 'grad_norm': 3.348548412322998, 'learning_rate': 8.094747682801236e-05, 'epoch': 16.87}       
{'loss': 0.3242, 'grad_norm': 2.8126790523529053, 'learning_rate': 8.069001029866118e-05, 'epoch': 17.07}      
{'loss': 0.2526, 'grad_norm': 2.499333620071411, 'learning_rate': 8.043254376931e-05, 'epoch': 17.27}          
{'loss': 0.2789, 'grad_norm': 3.0529377460479736, 'learning_rate': 8.017507723995881e-05, 'epoch': 17.47}      
{'loss': 0.3012, 'grad_norm': 2.898954391479492, 'learning_rate': 7.991761071060763e-05, 'epoch': 17.67}       
{'loss': 0.3048, 'grad_norm': 3.080211639404297, 'learning_rate': 7.966014418125643e-05, 'epoch': 17.87}       
{'loss': 0.2816, 'grad_norm': 2.6046910285949707, 'learning_rate': 7.940267765190525e-05, 'epoch': 18.07}      
{'loss': 0.2284, 'grad_norm': 2.7150328159332275, 'learning_rate': 7.914521112255408e-05, 'epoch': 18.27}      
{'loss': 0.2532, 'grad_norm': 2.517953395843506, 'learning_rate': 7.888774459320288e-05, 'epoch': 18.47}       
{'loss': 0.2668, 'grad_norm': 3.2487704753875732, 'learning_rate': 7.86302780638517e-05, 'epoch': 18.67}       
{'loss': 0.2751, 'grad_norm': 2.650275707244873, 'learning_rate': 7.837281153450052e-05, 'epoch': 18.88}       
{'loss': 0.2508, 'grad_norm': 2.5948948860168457, 'learning_rate': 7.811534500514933e-05, 'epoch': 19.08}      
{'loss': 0.2057, 'grad_norm': 2.6921350955963135, 'learning_rate': 7.785787847579815e-05, 'epoch': 19.28}      
{'loss': 0.2267, 'grad_norm': 2.6415493488311768, 'learning_rate': 7.760041194644695e-05, 'epoch': 19.48}      
{'loss': 0.2472, 'grad_norm': 2.4739127159118652, 'learning_rate': 7.734294541709579e-05, 'epoch': 19.68}      
{'loss': 0.2532, 'grad_norm': 2.6476244926452637, 'learning_rate': 7.70854788877446e-05, 'epoch': 19.88}       
{'loss': 0.2289, 'grad_norm': 2.157921552658081, 'learning_rate': 7.68280123583934e-05, 'epoch': 20.08}        
{'eval_Hits@1': 0.074, 'eval_Hits@10': 0.176, 'eval_runtime': 10.3886, 'eval_samples_per_second': 48.13, 'eval_steps_per_second': 0.385, 'epoch': 20.08}                                                                      
{'loss': 0.1976, 'grad_norm': 2.1319680213928223, 'learning_rate': 7.657054582904222e-05, 'epoch': 20.28}      
{'loss': 0.2029, 'grad_norm': 2.4972047805786133, 'learning_rate': 7.631307929969105e-05, 'epoch': 20.48}      
{'loss': 0.2222, 'grad_norm': 2.080125570297241, 'learning_rate': 7.605561277033986e-05, 'epoch': 20.68}       
{'loss': 0.2351, 'grad_norm': 2.580447196960449, 'learning_rate': 7.579814624098867e-05, 'epoch': 20.88}       
{'loss': 0.2056, 'grad_norm': 1.8930119276046753, 'learning_rate': 7.554067971163749e-05, 'epoch': 21.08}      
{'loss': 0.181, 'grad_norm': 2.599102258682251, 'learning_rate': 7.528321318228631e-05, 'epoch': 21.29}        
{'loss': 0.1951, 'grad_norm': 2.8580527305603027, 'learning_rate': 7.502574665293513e-05, 'epoch': 21.49}      
{'loss': 0.2069, 'grad_norm': 2.1106951236724854, 'learning_rate': 7.476828012358393e-05, 'epoch': 21.69}      
{'loss': 0.2159, 'grad_norm': 2.9500019550323486, 'learning_rate': 7.451081359423276e-05, 'epoch': 21.89}      
{'loss': 0.197, 'grad_norm': 2.236945867538452, 'learning_rate': 7.425334706488158e-05, 'epoch': 22.09}        
{'loss': 0.1672, 'grad_norm': 1.9455037117004395, 'learning_rate': 7.399588053553038e-05, 'epoch': 22.29}      
{'loss': 0.1861, 'grad_norm': 2.224168300628662, 'learning_rate': 7.37384140061792e-05, 'epoch': 22.49}        
{'loss': 0.1926, 'grad_norm': 2.4220259189605713, 'learning_rate': 7.348094747682801e-05, 'epoch': 22.69}      
{'loss': 0.1976, 'grad_norm': 2.5530693531036377, 'learning_rate': 7.322348094747683e-05, 'epoch': 22.89}      
{'loss': 0.1804, 'grad_norm': 2.2257869243621826, 'learning_rate': 7.296601441812565e-05, 'epoch': 23.09}      
{'loss': 0.1588, 'grad_norm': 1.8863716125488281, 'learning_rate': 7.270854788877447e-05, 'epoch': 23.29}      
{'loss': 0.1767, 'grad_norm': 1.9019211530685425, 'learning_rate': 7.245108135942328e-05, 'epoch': 23.49}      
{'loss': 0.1795, 'grad_norm': 2.32515025138855, 'learning_rate': 7.21936148300721e-05, 'epoch': 23.69}         
{'loss': 0.1876, 'grad_norm': 2.1878108978271484, 'learning_rate': 7.19361483007209e-05, 'epoch': 23.9}        
{'loss': 0.1688, 'grad_norm': 2.093344211578369, 'learning_rate': 7.167868177136972e-05, 'epoch': 24.1}        
{'loss': 0.1496, 'grad_norm': 2.009629726409912, 'learning_rate': 7.142121524201855e-05, 'epoch': 24.3}        
{'loss': 0.1665, 'grad_norm': 2.387770175933838, 'learning_rate': 7.116374871266735e-05, 'epoch': 24.5}        
{'loss': 0.1742, 'grad_norm': 2.085643768310547, 'learning_rate': 7.090628218331617e-05, 'epoch': 24.7}        
{'loss': 0.1841, 'grad_norm': 2.1867213249206543, 'learning_rate': 7.064881565396499e-05, 'epoch': 24.9}       
{'loss': 0.1569, 'grad_norm': 2.0032031536102295, 'learning_rate': 7.03913491246138e-05, 'epoch': 25.1}        
{'loss': 0.1427, 'grad_norm': 2.1280899047851562, 'learning_rate': 7.013388259526262e-05, 'epoch': 25.3}       
{'loss': 0.1528, 'grad_norm': 1.8950904607772827, 'learning_rate': 6.987641606591143e-05, 'epoch': 25.5}       
{'loss': 0.16, 'grad_norm': 2.109499454498291, 'learning_rate': 6.961894953656026e-05, 'epoch': 25.7}          
{'loss': 0.1741, 'grad_norm': 2.2822952270507812, 'learning_rate': 6.936148300720907e-05, 'epoch': 25.9}       
{'loss': 0.1484, 'grad_norm': 1.5984452962875366, 'learning_rate': 6.910401647785788e-05, 'epoch': 26.1}       
{'loss': 0.1371, 'grad_norm': 2.2110605239868164, 'learning_rate': 6.88465499485067e-05, 'epoch': 26.31}       
{'loss': 0.1475, 'grad_norm': 1.8961336612701416, 'learning_rate': 6.858908341915551e-05, 'epoch': 26.51}      
{'loss': 0.1546, 'grad_norm': 2.095726251602173, 'learning_rate': 6.833161688980433e-05, 'epoch': 26.71}       
{'loss': 0.163, 'grad_norm': 2.304961681365967, 'learning_rate': 6.807415036045315e-05, 'epoch': 26.91}        
{'loss': 0.1465, 'grad_norm': 1.8861452341079712, 'learning_rate': 6.781668383110196e-05, 'epoch': 27.11}      
{'loss': 0.1352, 'grad_norm': 1.9494653940200806, 'learning_rate': 6.755921730175078e-05, 'epoch': 27.31}      
{'loss': 0.1362, 'grad_norm': 1.9763768911361694, 'learning_rate': 6.73017507723996e-05, 'epoch': 27.51}       
{'loss': 0.1472, 'grad_norm': 1.6113320589065552, 'learning_rate': 6.70442842430484e-05, 'epoch': 27.71}       
{'loss': 0.1558, 'grad_norm': 2.59578800201416, 'learning_rate': 6.678681771369723e-05, 'epoch': 27.91}        
{'loss': 0.1351, 'grad_norm': 1.6705275774002075, 'learning_rate': 6.652935118434603e-05, 'epoch': 28.11}      
{'loss': 0.1228, 'grad_norm': 1.7026426792144775, 'learning_rate': 6.627188465499485e-05, 'epoch': 28.31}      
{'loss': 0.1363, 'grad_norm': 2.3497109413146973, 'learning_rate': 6.601441812564367e-05, 'epoch': 28.51}      
{'loss': 0.1421, 'grad_norm': 1.9146783351898193, 'learning_rate': 6.575695159629249e-05, 'epoch': 28.71}      
{'loss': 0.149, 'grad_norm': 2.1628148555755615, 'learning_rate': 6.54994850669413e-05, 'epoch': 28.92}        
{'loss': 0.1246, 'grad_norm': 1.9017984867095947, 'learning_rate': 6.524201853759012e-05, 'epoch': 29.12}      
{'loss': 0.1238, 'grad_norm': 1.9970548152923584, 'learning_rate': 6.498455200823894e-05, 'epoch': 29.32}      
{'loss': 0.1292, 'grad_norm': 2.578826904296875, 'learning_rate': 6.472708547888775e-05, 'epoch': 29.52}       
{'loss': 0.1389, 'grad_norm': 1.4817448854446411, 'learning_rate': 6.446961894953656e-05, 'epoch': 29.72}      
{'loss': 0.1472, 'grad_norm': 1.5448646545410156, 'learning_rate': 6.421215242018537e-05, 'epoch': 29.92}      
{'loss': 0.1234, 'grad_norm': 1.7508922815322876, 'learning_rate': 6.395468589083419e-05, 'epoch': 30.12}      
{'eval_Hits@1': 0.048, 'eval_Hits@10': 0.172, 'eval_runtime': 10.6355, 'eval_samples_per_second': 47.013, 'eval_steps_per_second': 0.376, 'epoch': 30.12}                                                                     
{'loss': 0.1163, 'grad_norm': 1.6655964851379395, 'learning_rate': 6.369721936148301e-05, 'epoch': 30.32}      
{'loss': 0.1303, 'grad_norm': 1.888157606124878, 'learning_rate': 6.343975283213183e-05, 'epoch': 30.52}       
{'loss': 0.1283, 'grad_norm': 1.7967435121536255, 'learning_rate': 6.318228630278064e-05, 'epoch': 30.72}      
{'loss': 0.1387, 'grad_norm': 2.1313910484313965, 'learning_rate': 6.292481977342946e-05, 'epoch': 30.92}      
{'loss': 0.1167, 'grad_norm': 1.3129020929336548, 'learning_rate': 6.266735324407828e-05, 'epoch': 31.12}      
{'loss': 0.1146, 'grad_norm': 1.4917675256729126, 'learning_rate': 6.240988671472708e-05, 'epoch': 31.33}      
{'loss': 0.1206, 'grad_norm': 1.4851902723312378, 'learning_rate': 6.21524201853759e-05, 'epoch': 31.53}       
{'loss': 0.125, 'grad_norm': 1.77641761302948, 'learning_rate': 6.189495365602473e-05, 'epoch': 31.73}         
{'loss': 0.1287, 'grad_norm': 1.8131523132324219, 'learning_rate': 6.163748712667353e-05, 'epoch': 31.93}      
{'loss': 0.1135, 'grad_norm': 1.3243550062179565, 'learning_rate': 6.138002059732235e-05, 'epoch': 32.13}      
{'loss': 0.1094, 'grad_norm': 1.633789300918579, 'learning_rate': 6.112255406797117e-05, 'epoch': 32.33}       
{'loss': 0.1195, 'grad_norm': 1.7343230247497559, 'learning_rate': 6.086508753861998e-05, 'epoch': 32.53}      
{'loss': 0.1248, 'grad_norm': 1.6599311828613281, 'learning_rate': 6.06076210092688e-05, 'epoch': 32.73}       
{'loss': 0.1269, 'grad_norm': 1.6420719623565674, 'learning_rate': 6.035015447991761e-05, 'epoch': 32.93}      
{'loss': 0.1076, 'grad_norm': 1.5790046453475952, 'learning_rate': 6.009268795056643e-05, 'epoch': 33.13}      
{'loss': 0.1068, 'grad_norm': 1.6680271625518799, 'learning_rate': 5.983522142121525e-05, 'epoch': 33.33}      
{'loss': 0.1168, 'grad_norm': 1.9301801919937134, 'learning_rate': 5.9577754891864055e-05, 'epoch': 33.53}     
{'loss': 0.1183, 'grad_norm': 1.8878569602966309, 'learning_rate': 5.932028836251288e-05, 'epoch': 33.73}      
{'loss': 0.1212, 'grad_norm': 1.9351131916046143, 'learning_rate': 5.9062821833161696e-05, 'epoch': 33.94}     
{'loss': 0.1052, 'grad_norm': 1.8713346719741821, 'learning_rate': 5.8805355303810506e-05, 'epoch': 34.14}     
{'loss': 0.1066, 'grad_norm': 1.7146025896072388, 'learning_rate': 5.854788877445932e-05, 'epoch': 34.34}      
{'loss': 0.1088, 'grad_norm': 1.546639323234558, 'learning_rate': 5.829042224510813e-05, 'epoch': 34.54}       
{'loss': 0.1098, 'grad_norm': 1.5861839056015015, 'learning_rate': 5.803295571575695e-05, 'epoch': 34.74}      
{'loss': 0.1203, 'grad_norm': 1.8886232376098633, 'learning_rate': 5.7775489186405774e-05, 'epoch': 34.94}     
{'loss': 0.1013, 'grad_norm': 1.682172179222107, 'learning_rate': 5.7518022657054585e-05, 'epoch': 35.14}      
{'loss': 0.0974, 'grad_norm': 1.6218585968017578, 'learning_rate': 5.72605561277034e-05, 'epoch': 35.34}       
{'loss': 0.1059, 'grad_norm': 1.3715461492538452, 'learning_rate': 5.700308959835222e-05, 'epoch': 35.54}      
{'loss': 0.1102, 'grad_norm': 1.5173814296722412, 'learning_rate': 5.674562306900103e-05, 'epoch': 35.74}      
{'loss': 0.1164, 'grad_norm': 2.133769989013672, 'learning_rate': 5.648815653964985e-05, 'epoch': 35.94}       
{'loss': 0.0986, 'grad_norm': 1.317931056022644, 'learning_rate': 5.6230690010298656e-05, 'epoch': 36.14}      
{'loss': 0.0965, 'grad_norm': 1.4981023073196411, 'learning_rate': 5.597322348094748e-05, 'epoch': 36.35}      
{'loss': 0.1053, 'grad_norm': 1.937833309173584, 'learning_rate': 5.57157569515963e-05, 'epoch': 36.55}        
{'loss': 0.1069, 'grad_norm': 1.4314438104629517, 'learning_rate': 5.545829042224511e-05, 'epoch': 36.75}      
{'loss': 0.1123, 'grad_norm': 1.4884026050567627, 'learning_rate': 5.5200823892893925e-05, 'epoch': 36.95}     
{'loss': 0.0952, 'grad_norm': 1.6126667261123657, 'learning_rate': 5.494335736354275e-05, 'epoch': 37.15}      
{'loss': 0.0931, 'grad_norm': 1.3293806314468384, 'learning_rate': 5.468589083419156e-05, 'epoch': 37.35}      
{'loss': 0.1001, 'grad_norm': 1.4997515678405762, 'learning_rate': 5.4428424304840376e-05, 'epoch': 37.55}     
{'loss': 0.1061, 'grad_norm': 1.866974949836731, 'learning_rate': 5.4170957775489186e-05, 'epoch': 37.75}      
{'loss': 0.11, 'grad_norm': 1.854610800743103, 'learning_rate': 5.3913491246138e-05, 'epoch': 37.95}           
{'loss': 0.0906, 'grad_norm': 1.5557973384857178, 'learning_rate': 5.365602471678682e-05, 'epoch': 38.15}      
{'loss': 0.0915, 'grad_norm': 1.7353661060333252, 'learning_rate': 5.339855818743563e-05, 'epoch': 38.35}      
{'loss': 0.0952, 'grad_norm': 1.6132811307907104, 'learning_rate': 5.3141091658084454e-05, 'epoch': 38.55}     
{'loss': 0.1041, 'grad_norm': 1.1198265552520752, 'learning_rate': 5.288362512873327e-05, 'epoch': 38.76}      
{'loss': 0.1066, 'grad_norm': 1.4335204362869263, 'learning_rate': 5.262615859938208e-05, 'epoch': 38.96}      
{'loss': 0.0883, 'grad_norm': 1.168472409248352, 'learning_rate': 5.23686920700309e-05, 'epoch': 39.16}        
{'loss': 0.0875, 'grad_norm': 2.1812500953674316, 'learning_rate': 5.211122554067971e-05, 'epoch': 39.36}      
{'loss': 0.0957, 'grad_norm': 2.1611616611480713, 'learning_rate': 5.1853759011328526e-05, 'epoch': 39.56}     
{'loss': 0.101, 'grad_norm': 1.4317920207977295, 'learning_rate': 5.159629248197735e-05, 'epoch': 39.76}       
{'loss': 0.103, 'grad_norm': 2.0972039699554443, 'learning_rate': 5.133882595262616e-05, 'epoch': 39.96}       
{'loss': 0.0866, 'grad_norm': 1.2228724956512451, 'learning_rate': 5.108135942327498e-05, 'epoch': 40.16}      
{'eval_Hits@1': 0.044, 'eval_Hits@10': 0.178, 'eval_runtime': 10.7212, 'eval_samples_per_second': 46.636, 'eval_steps_per_second': 0.373, 'epoch': 40.16}                                                                     
{'loss': 0.0872, 'grad_norm': 1.467674732208252, 'learning_rate': 5.0823892893923795e-05, 'epoch': 40.36}      
{'loss': 0.0932, 'grad_norm': 1.4098364114761353, 'learning_rate': 5.0566426364572605e-05, 'epoch': 40.56}     
{'loss': 0.0987, 'grad_norm': 1.661023736000061, 'learning_rate': 5.030895983522143e-05, 'epoch': 40.76}       
{'loss': 0.0982, 'grad_norm': 1.0530325174331665, 'learning_rate': 5.005149330587023e-05, 'epoch': 40.96}      
{'loss': 0.0823, 'grad_norm': 1.1604207754135132, 'learning_rate': 4.9794026776519056e-05, 'epoch': 41.16}     
{'loss': 0.0872, 'grad_norm': 1.6140519380569458, 'learning_rate': 4.9536560247167866e-05, 'epoch': 41.37}     
{'loss': 0.0927, 'grad_norm': 1.5886911153793335, 'learning_rate': 4.927909371781669e-05, 'epoch': 41.57}      
{'loss': 0.0927, 'grad_norm': 1.4746077060699463, 'learning_rate': 4.90216271884655e-05, 'epoch': 41.77}       
{'loss': 0.0974, 'grad_norm': 1.8453223705291748, 'learning_rate': 4.876416065911432e-05, 'epoch': 41.97}      
{'loss': 0.0834, 'grad_norm': 1.2096822261810303, 'learning_rate': 4.850669412976313e-05, 'epoch': 42.17}      
{'loss': 0.0851, 'grad_norm': 0.8949066400527954, 'learning_rate': 4.824922760041195e-05, 'epoch': 42.37}      
{'loss': 0.089, 'grad_norm': 1.0021146535873413, 'learning_rate': 4.799176107106076e-05, 'epoch': 42.57}       
{'loss': 0.0923, 'grad_norm': 1.6719272136688232, 'learning_rate': 4.773429454170958e-05, 'epoch': 42.77}      
{'loss': 0.0943, 'grad_norm': 1.2879325151443481, 'learning_rate': 4.7476828012358396e-05, 'epoch': 42.97}     
{'loss': 0.0794, 'grad_norm': 1.1958367824554443, 'learning_rate': 4.721936148300721e-05, 'epoch': 43.17}      
{'loss': 0.0831, 'grad_norm': 1.1843817234039307, 'learning_rate': 4.696189495365603e-05, 'epoch': 43.37}      
{'loss': 0.086, 'grad_norm': 1.467034935951233, 'learning_rate': 4.670442842430484e-05, 'epoch': 43.57}        
{'loss': 0.0903, 'grad_norm': 1.6367506980895996, 'learning_rate': 4.644696189495366e-05, 'epoch': 43.78}      
{'loss': 0.0938, 'grad_norm': 0.8682116866111755, 'learning_rate': 4.6189495365602475e-05, 'epoch': 43.98}     
{'loss': 0.0789, 'grad_norm': 0.9524386525154114, 'learning_rate': 4.593202883625129e-05, 'epoch': 44.18}      
